ASIN,Title,Subtitles,Language,Release year,Release date,Rated,Run time,Description,Contributors,Actors,Directors,Producers,Media Format,Genres,Customer Reviews,IMDb,Number of discs,Studio
630024847X,Fawlty Towers: Communication Problems - The Anniversary - Basil The Rat VHS,,,,"September 26, 1991",Unrated,,Communication Problems. The Anniversary. Basil the Rat.,,"John Cleese, Prunella Scales, Andrew Sachs, Connie Booth, Ballard Berkeley",,,,,,8.8,,CBS-Fox Video
B0006U5UPO,P.S [VHS],,English,,"February 8, 2005",R,,,"Topher Grace, Susan Porro, Jennifer Carta, Dylan Kidd, Laura Linney, Lois Smith, Chris Meyer (III), Stacy Lynn Spierer, Paul Rudd, Becki Newton, Ross A. McIntyre, Marcia Gay Harden, Daniel C. Levine, Gabriel Byrne","Laura Linney, Topher Grace, Gabriel Byrne, Marcia Gay Harden, Paul Rudd",,,,,,6.1,,Sony Pictures
B00008YLV9,Prehistoric America [VHS],,English,,"July 15, 2003",NR,,"Prehistoric America takes us on a journey through the prehistory of North America - beginning 14,000 years ago when people were first entering this vast and beautiful continent. Witness ancient beasts, mammoths, mastodons, giant bears and sabre-toothed cats, and see how their successors - modern animals and beasts - carry on their legacy.",,Artist Not Provided,,,,,,,,BBC
B0084YBB16,Philly Kid,,English Dialogue Boost: Medium,2012,,R,1 h 33 min,,,,Jason Connery,"Courtney Solomon,Moshe Diamant",,"Drama,Sports,Emotional,Gritty",,5.6,,tribecashortlist
B001NFNFMQ,Jillian Michaels: No More Trouble Zones,,English,,"February 3, 2009",NR,58 minutes," Get into the zone with TV's kick-butt trainer, Jillian Michaels, and tackle stubborn problem areas with her surefire circuit training formula that combines upper- and lower-body sculpting moves to obliterate fat even faster. Say goodbye to saddlebags, muffin tops and wobbly arms with this heart-pounding, 40-minute circuit workout that targets trouble zones like never before. By keeping you constantly challenged, Jillian will transform your body from flab to firm in no time! Warm up and cool down before and after this grueling workout. ",,,,,"Multiple Formats, Color, NTSC, Full Screen",Fitness,,,,Lionsgate
B00819ZCP0,The Out of Towners,,English Dialogue Boost: Medium,1999,,PG-13,1 h 30 min,,,,Sam Weisman,"Christine Peters,Philip E. Thomas",,"Comedy,Outrageous,Fun",,5.5,,Comedy
6302091594,Donna Summer: A Hot Summer Night VHS,,,,"June 25, 1991",Unrated,,"VHS TAPE!!!! in good condition (as shown) ""A Hot Summer Night ...with Donna [VHS]"" box has shelf wear, in original box. Fast shipping...PB-37",,"Summer, Donna",,,,,,8.6,1,Polygram
B0010XOKM0,Galaxy Invader,,,2007,,13+,1 h 20 min,,,,Don Dohler,Synergy Ent,,"Science Fiction,Serious",,2.9,,Synergy Ent
B00008YLV7,Bitter Moon [DVD],,English,,"June 3, 2003",R,2 hours and 19 minutes,Academy Award winning director Roman Polanski explores the sexy side of obsession and the wild side of romance in this outrageous look at the dark side of love. Starring Hugh Grant (,"Victor Banerjee, Hugh Grant, Luca Vellani, Grard Brach, Sophie Patel, Smilja Mihailovitch, Leo Eckmann, Emmanuelle Seigner, Richard Dieux, Roman Polanski, Patrick Albenque, John Brownjohn, Kristin Scott Thomas, Jeff Gross, Pascal Bruckner, Peter Coyote, Danny Wuyts","Hugh Grant, Kristin Scott Thomas, Emmanuelle Seigner, Peter Coyote, Victor Banerjee",,,"Dolby, Closed-captioned, DVD, NTSC, Anamorphic, Widescreen, Color",Drama,,7.2,,New Line Home Video
6304520735,Todd McFarlane's Spawn (Animated Series) [VHS],,,,"August 21, 2001",,,Animated Series.,,Spawn,,,,,,8.1,,Hbo Studios
B002C6VMHU,WWE: Tagged Classics - Summerslam 2004/Unforgiven 2004 [DVD],,English,,,G,3 hours,WWE continues their “Tagged Classics” line with the Great American Bash 04/ Vengeance 04 and Summerslam 04/ Unforgiven 04 set featuring the Biggest Superstars of WWE in their greatest moments. Get 2 classic events for 1 low price with these exciting collections.,"John Layfield, Chris Jericho, Kevin Dunn, Chris Benoit, Nick Dinsmore, Randy Orton, Booker Huffman, Paul Levesque, Dave Batista, Kurt Angle, Adam Copeland, Mark Calaway, Eddie Guerrero","Chris Benoit, Randy Orton, Mark Calaway, John Layfield, Paul Levesque",,,,,,6.7,,WWE FILMS
B00008YLV6,Detonator,,English,,"May 6, 2003",R,1 hour and 38 minutes,Two U.N. anti-crime agents try to stop a hijacked train from reaching Iraq. Based on the book Death Train by Alistair MacLean.,,"Pierce Brosnan, Patrick Stewart, Alexandra Paul, Ted Levine, Christopher Lee",,,"Dolby, Closed-captioned, Color, Multiple Formats, NTSC","Mystery & Thrillers, Action & Adventure",,5.2,,New Line Home Video
B00008YLVC,Eat a Bowl of Tea [DVD],,English,,"June 3, 2003",PG-13,1 hour and 43 minutes,"Director Wayne Wang is in his appealingly low-key groove with this wry comedy-drama, a precursor to his later success with ","Cora Miao, Victor Wong, Public Television Playhouse; Tea Productions, Russell Wong, Wayne Wang, Tom Sternberg","Cora Miao, Russell Wong, Victor Wong",,,"Closed-captioned, Anamorphic, Subtitled, Color, NTSC, DVD, Widescreen",Drama,,6.3,,Sony Pictures Home Entertainment
B0016H3I46,My Kid Could Paint That,,English,2007,,PG-13,1 h 23 min,,,,Amir Bar-Lev,Amir Bar-Lev,,"Documentary,Inspiring,Thoughtful",,7.1,,"Axis Films, Inc."
B001HXDQAU,7 Mummies,,,2005,,18+,1 h 19 min,,,,Nick Quested,"Andrew Bryniarski,Jasper Jan,Ryan R. Johnson,Jason Peterson,Jason K Peterson,Kevin Ragsdale,Richard E. Ragsdale,Dean Stillman",,"Horror,Action,Suspense",,2.4,,Egami
6304288115,Monticello:Home of Thomas Jefferson [VHS],,,,,,,,,,,,,,,7.0,,
B006OIW2NA,Five Minutes of Heaven,,,2009,,R,1 h 29 min,,,,Oliver Hirschbiegel,"Eoin O'Callaghan,Stephen Wright",,"Drama,Suspense,Bleak,Compelling",,6.6,,IFC Films
6301415833,Sing,,,,"April 28, 1992",,,"""A woman returns to her high school as a teacher and convinces the school punk to become involved in the schools annual production ""sing"". When the board of education decides to close the school and refuses to allow the annual event to be held, the neighborhood and students come together to put the event on one last time. A cross between ""Fame"" and ""Footloose""",,"Bracco, Dobson",,,,,,6.7,,Columbia/Tristar Studios
B000QUCNRC,Choices Of The Heart - The Margaret Sanger Story,,English,,,NR,,"Choices of the Heart: The Margaret Sanger Story is the dramatic story of public heroism, personal passion, and the private sacrifice of one woman's historic fight to promote family planning and sex education in the early part of this century. New York City, 1914. Modern progress confronts the oppressive prohibitions of the past. Moral crusaders enforce rigid laws banning ""obscene"" materials - including literature on safe sex and family planning. The result: desperate women with too little money and too many children risking their lives to end unwanted pregnancies. Working as a nurse in New York's poorest neighborhoods, Margaret Sanger (Dana Delany, China Beach) boldly fights to end this epidemic of ignorance. However, zealots led by the formidable Anthony Comstock (Rod Steiger, On the Waterfront), Chairman of the New York Society for the Suppression of Vice, are determined to stop her rebellious campaign. Facing prison - and making headlines - for daring to voice her opinions, Sanger is forced to part with her loving husband (Henry Czerny, The Ice Storm), three children and flee the country. Yet, public support for her becomes so strong that she overcomes the attacks of her puritanical opponents.",,,,,DVD,Kids & Family,,,,
B00005UF9O,Watership Down [VHS],,,,"March 26, 2002",PG,,Watership Down [VHS],,"John Hurt, Richard Briers, Ralph Richardson, Michael Graham Cox, John Bennett",,,,,,7.6,1,Warner Home Video
B00008YLVB,S.W.A.T. - The Complete First Season,,English,,"June 3, 2003",NR,,No description available.,,"Steve Forrest, Rod Perry, Robert Urich, Mark Shera, Ellen Watson",,,"Color, Full Screen, Closed-captioned, NTSC, Box set",TV,,7.9,,Sony Pictures Home Entertainment
1570762589,Balance in Movement: The Seat of the Rider,,English,,"February 1, 2004",Unrated,,"The art of successful riding is the development of harmony to such a degree that, to the onlooker, horse and rider perform in total unity. ",,,,,,,,,,Trafalgar Square Books
B002SRWNPI,Kenny Rogers Christmas Special with Bonus CD: Country Christmas,,,,"October 27, 2009",Unrated,45 minutes,Christmas is all about memories and it's all about kids. ,,"Kenny Rogers, Various Artists",,,"NTSC, Compilation",Kids & Family,,,,Echo Bridge
B004SIP6BI,Chocolat,,English,,"April 26, 2011",PG-13,2 hours and 2 minutes,"Chocolate is the beautiful and captivating comedy from the acclaimed director of the Cider House Rules! Nobody could have imagined the impact that the striking Vianne(Binoche) would make when she arrived in a tranquil, old-fashioned French town. In her very unusual chocolate shop, Vianne begins to create mouth-watering confections that almost magically inspire the strailaced villagers to abandon themselves to temptation and happiness! But it is not until another stranger, the handsome Roux arrives in town that Vianne is finally able to recognize her own desires!","Arnaud Adam, Guillaume Tardieu, Alfred Molina, Victoire Thivisol, Elizabeth Commelin, Peter Stormare, Ged Barry, Iain Stoddard, Malcolm Ross, Helene Cardona, Christianne Gadd, John Wood, Sally Isherwood-Taylor, Lasse Hallstr m, Esteban Antonio, Sally (Sally), Lena Olin, Carrie-Anne Moss, Marion Hauducoeur, Leslie Caron, Lasse Hallstrom, Hugh O'Conor, Jeffrey Poskin, Johnny Depp, Leslie Holleran, J J Holiday, Tatyana Yassukovich, Judi Dench, Juliette Binoche, Gaelan Connell, Kit Golden, David Brown, Aurelien Parent Koenig, Michele Gleizer, Dominique Macavoy, Lasse Hallström, Harrison Pratt","Juliette Binoche, Johnny Depp, Lena Olin, Judi Dench, Alfred Molina",,,"Closed-captioned, Color, Widescreen, Multiple Formats, NTSC, AC-3, Dolby",Drama,,7.2,,Lionsgate
6304107242,A Christmas Without Snow [VHS],,,,"September 28, 1999",NR,1 hour and 35 minutes,,"John Korty, Calvin Levels, Ramon Bieri, Suella Kennedy, Richard Beban, William Swetland, David Knell, John Houseman, Daisietta Kim, Judith Anne Nielsen, Ruth Nelson, James Cromwell, Michael Learned, Whitney Green, Ed Bogas, Frank Konigsberg, Valerie Curtin, Beah Richards","Michael Learned, John Houseman, Ramon Bieri, James Cromwell, Valerie Curtin",,,,,,5.7,,Warner Home Video
6305101132,Titanic: End of an Era,,English,,"August 25, 1998",Unrated,55 minutes,"Using the best available photgraphs, original graphics and archive film, the producers follow the events of the Titanic's tragic maiden voyage. This is complemented by contemporary footage in New York, London and Southampton (the ship set sail on April 10th, 1912 from Southampton). Author Walter Lord (A Night to Rememeber) rekindled interest in the 'forgotten' Titanic after the Scond World War. He and Bill McQuitty who was later to produce the outstanding British Titanic film - A Night to Rememeber, add their own comments and halp us to understand why this was no ordinary shipwreck - it was an ""end of an era!""",,Titanic-Mystery & the Legacy,,,,,,,,Madacy (Music Distributor)
B0002B54P8,Audubon 1: Video Guide 247 Birds of North America,,English,,"July 27, 2004",NR,3 minutes,"Loons; Grebes;Pelicans and their allies; Swans, Ducks and Geese including Dabbling Ducks, Bay Ducks, Sea Ducks, Mergansers, Whistling-Ducks and others; Vultures, Hawks and Falcons covering Eagles, Kites, Accipiters, Buteos, Caracaras and others; Chicken-like (or Scratching) Birds which include Turkey, Quail, Grouse, Prairie-Chickens, Pheasant, Ptarmigan and others; Wading birds, covering Spoonbill, Woodstork, Egrets, Herons, Bitterns, Ibises, Limpkin, and Cranes; Rails; Shorebirds, including Plovers, Sandpipers, Curlews, Phalaropes, Turnstones, Oystercatchers, Avocet and many others; Gulls and Jaegers; Terns; Alcids, which include Puffins, Auks, Murres and Guillemots; Owls; and Kingfishers.",,,,,,,,,,Mastervision
B005C2TKLQ,Udaan (English Subtitles),,,2010,,13+,2 h 12 min,,,,---,"Anurag Kashyap,Sanjay Singh,Ronnie Screwvala",,"Drama,International",,8.1,,UTV
B004USUOX6,B.B. King: Live [Blu-ray],,English,,"July 12, 2011",NR,3 hours and 42 minutes,"The man needs no introduction. Truly the reigning king of blues, over the last 60 years B.B. King has developed one of the world's most identifiable guitar styles and has influenced thousands of musicians. Known for integrating precise and complex string bends with left hand vibrato, King has a uniquely regal and velvety tone making every note count. With trademark Gibson “Lucille” settled on his lap, B.B. King presents a concert filled with staggering guitar jams on hits like “The Thrill Is Gone” and “Downhearted.” In between songs, King’s characteristic affable persona shines through as he introduces the band he’s always toured with and shares stories from his life. Throughout the show special guests Terrence Howard, Solange, and guitarist Richie Sambora stop by to jam and pay tribute to this renowned blues master. Don’t miss legend B.B. King performing in his element in this amazing concert! ","King, B. B., Kinn, B. B., Coleman, Tony, Dennis, Charlie, Thomas, Joe, Richards, Reggie, Vatrease, Ernest, Jackson, Melvin","King, B. B., Dennis, Charlie, Coleman, Tony, Richards, Reggie, Vatrease, Ernest",,,"Multiple Formats, Blu-ray, Widescreen, NTSC, AC-3, Dolby, Color, DTS Surround Sound",Music Videos & Concerts,,,,Rlj Ent/Sphe
B00005UKKE,Britney Spears - Live from Las Vegas [VHS],,English,,"February 12, 2002",,1 hour and 18 minutes,"Spears becomes someone else entirely in front of an audience: numerous costume changes, a plethora of filmed footage, awesome acrobatics, and a gigantic stage set create the ultimate triumph of visuals over music. During the encore, ""Baby One More Time,"" rain drenches Spears, giving a born entertainer one final opportunity to leave her fans awestruck. Have you ever had a dream that felt so real, you couldn't tell the difference between the real world and the dream world? On November 18, 2001, the world's biggest star, Britney Spears, brought her Dream Within a Dream Tour to the MGM Grand Garden Arena in legendary Las Vegas, Nevada. This defining concert moment, witnessed by millions of fans as it was broadcast live on HBO, is now yours on this video, Britney Spears Live from Las Vegas. The spectacle is truly fantastic. Never before has Britney performed so fearlessly, so confidently, and with so much energy and enthusiasm for her singing, her dancing, and her fans. Indeed, Britney gives her all in this concert: from bungee jumping to playing a jewelry box ballerina, from running through a row of fire trees to ""singing in the rain,"" Britney is a one-woman explosion of talent. Britney Spears Live from Las Vegas showcases 15 of Britney's biggest hits from her three multi-platinum albums, ...Baby One More Time, Oops!... I Did It Again, and her latest smash release, Britney. Plus, you'll love seeing Britney posing as a Janis Joplin wannabe in a comedy takeoff of a ""Making the Band"" documentary. The special effects are intense, the costume changes incredible; Britney Spears Live from Las Vegas takes the concert going experience to the next level. 90 minutes. Songs: Oops!... I Did It Again, (You Drive Me) Crazy, Overprotected, Medley: Born to Make You Happy/Lucky/Sometimes, Boys, Stronger, I'm Not a Girl Not Yet a Woman, I Love Rock 'n' Roll, What's It's Like to Be Me, Lonely, Don't Let Me Be the Last to Know, Anticipating, I'm a Slave 4 U, ...Baby One More Time.",,Britney Spears,,,NTSC,"Britney Spears Britney Spears Live from Las Vegas, Rock",,7.5,,HBO
B00005UF9K,O [VHS],,,,,R,1 hour and 35 minutes,"O is Odin James (Mekhi Phifer, Dawn of the Dead), a star high school basketball player and professional basketball hopeful. Even though he's the only black student at the elite Palmetto Grove Academy, he has the adoration of all, including the team's coach (Martin Sheen, TV's The West Wing) and the Dean's beautiful daughter, Desi (Julia Stiles, TV's Dexter). Odin's troubled friend Hugo (Josh Hartnett, 30 Days of Night), the coach's son, is deeply resentful of his father's preference of Odin on and off the court. When Hugo plots a diabolical scheme to sow the seed of mistrust between O and Desi, it sets in motion a disturbing chain of events which erupts into a firestorm of breathtaking intensity.","Chris Freihofer, Daniel Fried, Eric Gitter, Julia Stiles, Anthony Johnson, Martin Sheen, Betsy Danbury, Rachel Shumate, Anthony Rhulen, Andrew Keegan, John Heard, Elden Henson, Josh Hartnett, Tim Blake Nelson, Rain Phoenix, Brad Kaaya, Mekhi Phifer, Chris Dong, William Shakespeare","Mekhi Phifer, Julia Stiles, Martin Sheen, Josh Hartnett, Andrew Keegan",,,NTSC,Sports,,6.1,,Trimark Home Enterta
B000NY1EC6,George Jones & Friends: 50th Anniversary Tribute Concert,,English,,"April 13, 2007",NR,,Please Note,,George Jones / Various Artists,,,"Multiple Formats, Color, NTSC", ,,,,New West Records
B0000EYVJM,Mutant X,,English,,,,1 hour and 40 minutes,"MUTANT X - SEASON 1, DISC 6","Jorge Montesi, Brad Turner, Forbes March, Lauren Lee Smith, Derwin Jordan, Chick Reid, Victoria Pratt, Alan Goluboff, Art Hindle, George Buza, Tom McCamus, Andrew Potter, John Bell, Victor Webster, James Binkley, John Fawcett, John Shea, Jon Cassar, Graeme Campbell, Karen Cliche",,,,,,,,,
B003CRM6PA,Caddyshack,,English,,"June 8, 2010",R,1 hour and 39 minutes,"Greenskeeper Carl Spackler is about to start World War III – against a gopher. Pompous Judge Smalls plays to win but his nubile niece Lacey Underall wants to score her own way. Playboy Ty Webb shoots perfect golf by becoming the ball. And country club loudmouth Al Czervik just doubled a $20,000 bet on a 10-foot putt. Insanity? No. Caddyshack. Chevy Chase, Rodney Dangerfield, Bill Murray and Ted Knight tee off for a side-splitting round of fairway foolishness that does for golf what National Lampoon’s Animal House did for fraternities and Police Academy did for law enforcement. With Harold Ramis (National Lampoon’s Vacation, Analyze This) directing, the virtuoso skills of all four blend into a riotous hole-in-one for comedy fans. SPECIAL FEATURES: • Soundtrack Newly Remastered in Dolby Digital 5.1 • Retrospective Featurette Caddyshack: The 19th Hole • Theatrical Trailer • Languages: English, Français (Dubbed in Quebec) & Español • Subtitles: English, Français & Español (Main Feature. Bonus Material/Trailer May Not Be Subtitled).","Rodney Dangerfield, Michael O'Keefe, Sarah Holcomb, Cindy Morgan, Jon Peters, Chevy Chase, Douglas Kenney, Ted Knight, Bill Murray, Brian Doyle-Murray, Harold Ramis","Chevy Chase, Rodney Dangerfield, Ted Knight, Michael O'Keefe, Sarah Holcomb",,, ,Comedy,,7.2,,Warner
B000F0UTW4,Cirque Eloize: Nomade - La Nuit le Ciel Est Plus Grand,,,,"May 2, 2006",,,"NTSC/Region 1. Nomade, the latest production of the world-famous Quebec troupe Cirque Eloize, is a nighttime carnival filled with song, dance and acrobatic feats in a powerful exploration of the rituals of vagabond life. A seamless blend of the modern and the traditional, Nomade stars circus artists from across the globe who perform heart-stopping numbers on the bascule, the banquet and the Russian bar. This treat for the senses features a cast of colorful characters and spotlights the amazing virtuosity of circus artists in peak form. Recall. 2006.",,Cirque Eloize,,,,,,,1,Recall Canada
B00018D3XW,The Commitments (Two-Disc Collector's Edition),,"English, French",,,R,1 hour and 58 minutes,"Acclaimed director Alan Parker's landmark musical comedy is back for a spectacular encore in this all new widescreen collector's edition release of The Commitments. Fueled by raw talent and driven by dreams of glory, a dozen dead-enders from Dublin's gritty North side share a passion for soul music that takes their band on a wild roller-coaster ride from the streets to the stage?to superstardom! Packed with over 4 hours of extras, including audio commentary, brand new songs, and a never-before-seen retrospective documentary, this exhilarating 2-disc DVD is your backstage pass to experience the ""world's hardest working band"" as never before. Ladies and gentlemen, please welcome once again - The Commitments!","Robert Arkins, Dave Finnegan, Ian La Frenais, Johnny Murphy, Maria Doyle Kennedy, Roddy Doyle, Alan Parker, Bronagh Gallagher, Glen Hansard, Flim Gormley, Dick Clement, Dick Massey, Michael Aherne, Angeline Ball, Andrew Strong, Ken McCluskey","Robert Arkins, Michael Aherne, Angeline Ball, Maria Doyle Kennedy, Dave Finnegan",,,"Subtitled, NTSC, Anamorphic, Color, Dolby, Dubbed, Widescreen",Comedy,,7.6,,20th Century Fox
B005EP7HX4,The Fish Child,,,2009,,18+,1 h 32 min,,,,Lucía Puenzo,"Luis Puenzo,Fernando Sirianni",,"Drama,Romance,Suspense,Arthouse",,5.8,,FilmBuff
B0002J4ZW8,Soul Plane [VHS],,"English, Spanish",,"September 7, 2004",R,1 hour and 26 minutes,"Why just fly when you can soar with soul! An all-star cast, including Tom Arnold, Kevin Hart and hip-hop superstars Method Man and Snoop Dogg, takes to the skies in this ""relentlessly raunchy"" (The New York Times) comedy about a full-service airline complete with sexy stewardesses, a mack casino and the hottest dance club at 30,000 feet. Departing on its maiden voyage from the all-new Terminal X in Los Angeles, Soul Plane is a raucous ride that gives ""fly"" a whole new meaning!","Loni Love, Jessy Terrero, Patrick Russo, Chuck Wilson, David Rubin, Tom Arnold, Godfrey, Bo Zenga, K.D. Aubert, Kevin Hart, Dwayne Adway, Paul Hall, D.L. Hughley, Mo'Nique, Brian Hooks, Arielle Kebbel, Snoop Dogg, Method Man","Dwayne Adway, Snoop Dogg, Tom Arnold, Kevin Hart, Method Man",,,,,,4.5,,Metro-Goldwyn-Mayer (MGM)
630354472X,Bosom Buddies Volume 2 [VHS],,English,,"September 12, 1995",,51 minutes,,,Bosom Buddies,,,,,,6.8,,Paramount Pictures
6304288875,"Baby's First Impressions, Vol. 2 - Colors VHS",,,,"January 1, 1996",Unrated,,A thoughtful (and logical!) reminder to adjust the TV set's colors kicks off another winning edition in the Parent's Choice Award-winning series titled ,,Baby's First Impressions,,,,,,,1,Brainy Baby
6305986398,Across the Line [VHS],,,,,,,A small-town sheriff falls in love with a Latina illegal immigrant who witnessed a murder on the Texas border.,,,,,,,,5.5,,
B008474ZX4,Two Friends,,,,"July 17, 2001",,,"Directed by Jane Campion. Starring Peter Hehir, Kris Bidenko, Emma Coles.",,"Kris Bidenko, Emma Coles, Kris McQuade, Peter Hehir, Kerry Dwyer",,,,,,6.3,1,Milestone Video
B00005LKLN,Space Cowboys,,,,"September 4, 2001",,,,,"Eastwood, Jones, Sutherland, Garn",,,"Closed-captioned, Color, NTSC",Science Fiction,,6.5,,Warner Studios
B001AD6UJ6,The Dude Bandit,,,,"April 7, 2010",,1 hour and 6 minutes,"(1933, Allied) Hoot Gibson, Gloria Shea, Hooper Atchley, Skeeter Bill Robbins. Hoot is shocked when one of his pals is murdered in cold blood! He discovers a crooked banker is behind the killing so he dons the disguise of a bandit in order to entrap him. A most likable Gibson western. Watch for the early scenes where Hoot pretends to be a dimwitted cowpoke. From a nice original 16mm print.",,,,,,,,,,Sinister Cinema
B008CPAX16,Keyhole,,English,2012,,R,1 h 33 min,,,,Guy Maddin,"Jody Shapiro,Jean Du Toit",,"Drama,Suspense,Atmospheric,Strange",,5.4,,monterey media
B0060ZNFVK,Bad Man's River,,,,,,,,,,,,,,,4.6,,
B00005LKLD,Willy Wonka & The Chocolate Factory Dubbed in Spanish VHS,,,,"August 28, 2001",,,,,"Wilder, Albertson, Ostrum, Kinnea",,,,,,7.8,,Warner Studios
B000W4CG60,Muppets From Space,,English,1999,,G,1 h 28 min,,,,Tim Hill,"Brian Henson,Martin G. Baker",,"Kids,Adventure,Charming,Stunning",,6.2,,Sony Pictures Entertainment Co
B0041KKZH8,The Sunset Limited [Blu-ray],,English,,"February 7, 2012",NR,1 hour and 30 minutes,The Sunset Limited,,,,,"Dubbed, Blu-ray, Multiple Formats, Subtitled, Widescreen, NTSC, AC-3, Dolby",Drama,,7.3,,HBO Studios
B00004RFI6,"The Monkees, Vol. 15: The Chaperone/The Case of the Missing Monkee VHS",,,,"January 22, 2002",Unrated,,"Hey, hey they're the Monkees and they're cool again. So put on your green knit cap and your best striped pants and settle down for two 25-minute episodes from the fabbest four west of Liverpool. In ""The Chaperone"" (broadcast November 7, 1966), Davy wants to date a World War II general's daughter so he tries his hand at poll taking, magazine sales, and bomb shelter inspecting--anything to penetrate the general's protective force field. Finally the four singing roommates come up with the plan to have a chaperoned party that evolves into an opportunity for the boys to play Henry Higgins to their alcoholic cleaning lady's Eliza Doolittle, not to mention the chance to put Mickey in a dress and a wig. ""The Case of the Missing Monkee"" (broadcast January 9, 1967) finds the band playing a banquet until Peter is spirited away to a mental ward by the same vaguely Russian villains who are plotting to kidnap a professor. This provides a good excuse for the remaining three to scale hospital walls and don spiffy coordinated bathrobes, and the reunited four to sing their hit song ""(I'm Not Your) Steppin' Stone."" ",,"Dolenz, Micky, Jones, Davy, Nesmith, Michael, Tork, Peter",,,,,,7.5,,Rhino
B00004RFI5,Witchcraft XI: Sisters in Blood VHS,,,,"January 9, 2001",R,,,,"Miranda Odell, Lauren Ian Richards, Kathleen St. Lawrence, Don Donason, James Servais",,,,,,2.9,1,Vista Street Entertainment
B00005LKLF,Pokémon 3: The Movie,,,,"August 21, 2001",,,"ASH AND PIKACHU FACE THEIR GREATEST POKEMON CHALLENGE EVER WHEN THEY ENCOUNTER THE UNOWN. CAN ASH RESCUE A YOUNG ORPHAN NAMED MOLLY FROM THE MYSTICAL FORCES THAT THREATEN TO TRANSFORM HER LIFE INTO A DREAMWORLD PRISON. ALSO, INCLUDES THE BONUS SHORT PIKACHU AND PICHU WITH THE WORLD'S MOST FAMOUS POKEMON.",,Pokémon,,,,,,,,Warner Studios
B0008ENIMK,The Star,,English,,"June 14, 2005",Unrated,1 hour and 29 minutes,"As Margaret, Bette Davis got yet another good picture and earned her ninth Academy Award nomination. Davis?s confident, perceptive performance lends absolute authenticy, as did a prop she provided. An Oscar stautette set noticeably on the car dashboard during Margaret?s drunken spin through Beverly Hills ? was one of two Davis owned. Sterling Hayden and Natalie Wood co-star in this gripping story that has many moments of truth (Leonard Maltin?s Movie Guide). The Star shines. ","Barbara Woodell, Florence Auer, Herb Vigran, Sam Harris (II), Robert Warwick, Fay Baker, Stuart Heisler, Bette Davis, Al Hill, Minor Watson, Sterling Hayden, Claire Carleton, Paul Frees, Marie Blake, Gil Frye, Katherine Warren, James Anderson, June Travis, Marcia Mae Jones, Barbara Lawrence, Warner Anderson, Byron Foulger, Dorothy Vaughan, John Indrisano, Natalie Wood, Kay Riehl, Lorin Raker, Frank J. Scannell, David Alpert","Bette Davis, Sterling Hayden, Natalie Wood, Warner Anderson, Minor Watson",,,,,,7.0,,Warner Home Video
B002L5GDZI,The Concorde: Airport '79,,English Dialogue Boost: Medium,1979,,PG,1 h 53 min,,,,David Lowell Rich,Jennings Lang,,"Action,Drama,Joyous,Stunning",,4.5,,NBC Universal
B00004RFI7,Cowboy Bebop - Session 2 [DVD],,Japanese,,"June 6, 2000",Unrated,2 hours and 5 minutes,The popular ,"Melissa Fahn, Ryota Yamaguchi, Beau Billingslea, Marc Handler, Daran Norris, Akihiko Inari, Megumi Hayashibara, Steve Blum, Kichi Yamadera, Wendee Lee, Norio Wakamoto, Isshin Chiba, Paul St. Peter, Shinichir Watanabe, Aoi Tada, Dai Sato, Hajime Yatate, Unsh Ishizuka, Michiko Yokote","Kichi Yamadera, Unsh Ishizuka, Megumi Hayashibara, Steve Blum, Beau Billingslea",,,,,,8.9,,Bandai
B004TJRD94,Doug Ferony: In Concert,,,,,NR,1 h 29 min,,,,MJM Productions,Doug Ferony,,Music Videos and Concerts,,,,Ferony Enterprizes Music Co
B002JVX0JG,Stacey Nemour's Extreme Flexibility for Pro-Athletes & Teams,,,,"July 31, 2009",,1 hour,,,Stacey Nemour,,,NTSC,Sports,,,,Stacey Nemour Productions
6304493983,Teenage Catgirls in Heat,,,,"December 8, 1998",Unrated,,,,Teenage Catgirls in Heat,,,"NTSC, Color",Comedy,,3.3,,TROMA ENTERTAINMENT INC.
B006NO1SV2,Die Entfuehrung Aus Dem Serail,,,,"February 28, 2012",,,"Diana Damrau, Olga Peretyatko, Christoph Strehl, Norbert Ernst, Franz-Josef Selig, and Christoph Quest star in this Gran Teatre del Liceu production of the Mozart opera conducted by Christof Loy and directed by Ivor Bolton.",,"Christoph Quest, Diana Damrau, Olga Peretyatko, Christoph Strehl, Norbert Ernst",,,,,,,2,C Major Entertainment
B0002I8336,Relentless [DVD],,English,,"August 31, 2004",R,1 hour and 32 minutes,"A sadistic serial killer holds Los Angeles in the grip of unspeakable fear in this hard-hitting action-thriller. Rejected from the police force on psychological grounds, Buck Taylor (Judd Nelson) exacts revenge by committing a string of brutal murders and taunting the LAPD. The only clues are pages torn from a telephone book and victims who appear to have somehow participated in their own deaths. But when a brash rookie detective (Leo Rossi) pairs up with a cynical veteran (Robert Loggia) totrack down the killer, the cat-and-mouse game ends in a deadly fight to the finish.","Howard Smith, Judd Nelson, William Lustig, Robert Loggia, Meg Foster, Grey Matter Entertainment, Sanford Hampton, Leo Rossi","Leo Rossi, Meg Foster, Robert Loggia, Judd Nelson",,,"Closed-captioned, Dolby, DVD, Subtitled, Widescreen, NTSC, Color","Mystery & Thrillers, Action & Adventure",,5.9,,Sony Pictures Home Entertainment
